深圳频道,#genre#
parse=1
深圳卫视,https://www.sztv.com.cn/dianshi.shtml?id=7867
深圳都市,https://www.sztv.com.cn/dianshi.shtml?id=7868
深圳电视剧,https://www.sztv.com.cn/dianshi.shtml?id=7880
深圳公共,https://www.sztv.com.cn/dianshi.shtml?id=7874
深圳财经,https://www.sztv.com.cn/dianshi.shtml?id=7871
深圳娱乐,https://www.sztv.com.cn/dianshi.shtml?id=7872
深圳少儿,https://www.sztv.com.cn/dianshi.shtml?id=7881
深圳移动,https://www.sztv.com.cn/dianshi.shtml?id=7869
深圳国际,https://www.sztv.com.cn/dianshi.shtml?id=7944
宜和购物,https://www.sztv.com.cn/dianshi.shtml?id=7878
